"Artist","Classifications","Color","Franchise","Image","Cost","Inkable","Name","Type","Lore","Rarity","Flavor_Text","Body_Text","Willpower","Strength","prints","Abilities","Card_Variants","Move_Cost"
"Florencia Vazquez","Storyborn, Ally","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/88_bc2b7130b04c7200db4790b39889f2e2cd84098e.jpg",4,true,"Chaca - Junior Chipmunk","Character",1,"Common",,"IN CAHOOTS: When you play this character, if
you have a character named Tipo in play, chosen
opposing character gains Reckless during their next
turn. (They can't quest and must challenge if able.)",3,3,"[""ROJ-088""]",,,
"Florencia Vazquez","Storyborn, Ally","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/89_8af8976d364cdf9584c68d7dc8b77fcef5b8860f.jpg",2,true,"Tipo - Junior Chipmunk","Character",1,"Common","""This is so much fun, Chaca! I want to go higher!""","Evasive (Only characters with Evasive can
challenge this character.)",2,2,"[""ROJ-089""]",,,
"Kendall Hale","Storyborn","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/90_b0f2931c1aec674bb28cd9ae54471dc4a22cb6c7.jpg",1,true,"Bill the Lizard - Chimney Sweep","Character",1,"Common","""We need a lazard with a lizard!""
-White Rabbit","NOTHING TO IT: While another character in play
has damage, this character gains Evasive. (Only
characters with Evasive can challenge them.)",2,1,"[""ROJ-090""]",,,
"Dustin Panzino","Storyborn","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/91_2d0992163394b65487a2ef20ec77df014a47a3fa.jpg",4,true,"March Hare - Hare-Brained Eccentric","Character",1,"Common","He really knows how to light up a room.","LIGHT THE CANDLES: When you play this
character, you may deal 2 damage to chosen
damaged character.",4,3,"[""ROJ-091""]",,,
"Jared Nickerl / Patri Balanovsky","Storyborn, Hero","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/92_24c4c2b08319c4dbc231d640dfcdee7158ffa10c.jpg",3,true,"Fred - Major Science Enthusiast","Character",2,"Common","""Don't be alarmed. It is just a suit. This is not my
real face and body.""","SPITTING FIRE!: When you play this character, you
may banish chosen item.",3,2,"[""ROJ-092""]",,,
"Luis Huerta","Storyborn, Ally, Pirate","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/93_509130ff42ca870b5e2c39febf23d6a3e38d7de7.jpg",4,true,"Mad Dog - Karnage's First Mate","Character",1,"Common","He certainly isn't the brains of the operation.","ARE YOU SURE THIS IS SAFE, CAPTAIN?: If you have a
character named Don Karnage in play, you pay 1 {i}
less to play this character.",4,4,"[""ROJ-093""]",,,
"Wouter Bruneel","Storyborn, Hero","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/94_d9cdcac87116234fc9cbd461b24ba2f7206a9929.jpg",1,true,"Dale - Bumbler","Character",1,"Common","""You're the fearless copilot who can handle any
job....Did I say fearless? I meant brainless!""
-Chip",,3,1,"[""ROJ-094""]",,,
"Grace Tran","Storyborn, Ally","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/95_5b907a5ac16f71de91ebd0308d132565feaba67c.jpg",3,true,"Louis - Endearing Alligator","Character",1,"Uncommon",,"SENSITIVE SOUL: This character enters play exerted.
FRIENDLIER THAN HE LOOKS When you play this
character, chosen opposing character gains Reckless
during their next turn. (They can't quest and must
challenge if able.)",3,4,"[""ROJ-095""]",,,
"Mariana Moreno","Storyborn","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/96_b6a1340dd22233648675aa542fc61d49b6ae3524.jpg",4,true,"Napoleon - Clever Bloodhound","Character",1,"Uncommon","""Everyone knows that without rations, an
operation'll be a failure. And this is why I outrank
you, Lafayette. 'Cause I see the big picture.""",,6,3,"[""ROJ-096""]",,,
"Brian Weisz","Storyborn, Hero","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/97_54788faea60e5cab35d2d2240588d4d8c8f94e85.jpg",4,true,"Chip - Quick Thinker","Character",1,"Uncommon","""Don't worry, Dale! I've got you!""","I'LL HANDLE THIS When you play this character,
chosen opponent chooses and discards a card.",2,3,"[""ROJ-097""]",,,
"Jules Dubost","Floodborn, Hero","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/98_c845f1576380bb016047090ebcaf6d09a4ea05b1.jpg",7,true,"Fred - Giant-Sized","Character",3,"Rare",,"Shift 5 (You may pay 5 {i} to play this on top of one of
your characters named Fred.)
I LIKE WHERE THIS IS HEADING Whenever this character
quests, reveal cards from the top of your deck until you
reveal a Floodborn character card. Put that card into
your hand and shuffle the rest into your deck.",6,5,"[""ROJ-098""]",,,
"Lisanne Koeteeuw","Storyborn, Ally, Inventor","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/99_22615c491d4ffed7f36ae0e9be8d00da6da0d593.jpg",4,true,"Gadget Hackwrench - Quirky Scientist","Character",2,"Rare","""The scarab's power source! I knew that if I dug
around I'd find it!""","GOLLY!: When you play this character, if an
opponent has more cards in their hand than you,
you may draw a card.",2,3,"[""ROJ-099""]",,,
"Dustin Panzino","Storyborn, Hero, Princess","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/100_b0199315f7843a4298e44e697f987aceb0bb7c6f.jpg",6,true,"Raya - Infiltration Expert","Character",2,"Legendary",,"UNCONVENTIONAL TACTICS: Whenever this
character quests, you may pay 2 {i} to ready
another chosen character.",5,5,"[""ROJ-100""]",,,
"Alice Pisoni","Dreamborn, Hero, Princess","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/101_fc98fe9c34523ce5788e4800a735e7c68630f9fe.jpg",5,true,"Rapunzel - High Climber","Character",2,"Legendary",,"Evasive (Only characters with Evasive can
challenge this character.)
WRAPPED UP Whenever this character quests,
chosen opposing character can't quest during
their next turn.",5,2,"[""ROJ-101""]",,,
"Koni","Storyborn, Hero, Prince","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/102_deed1ba7dd28e4b0aa88a1dc955f68a977164e4f.jpg",4,false,"Flynn Rider - Breaking and Entering","Character",3,"Super Rare","""One way or another, I get what I want.""","THIS IS A VERY BIG DAY: Whenever this character
is challenged, the challenging player may choose
and discard a card. If they don't, you gain 2 lore.",4,1,"[""ROJ-102""]",,,
"Joel DuQue","Storyborn","Emerald, Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/103_9ba90f5c7ea24182e507aef2fac1b1b7f781f8ea.jpg",2,true,"Dormouse - Easily Agitated","Character",1,"Uncommon","The tea is strong, even if he isn't.","VERY RUDE INDEED: When you play this character,
you may put 1 damage counter on chosen
character.",2,1,"[""ROJ-103""]",,,
"Arianna Rea","Floodborn, Hero","Emerald, Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/104_e6732aa858a85d279a36dd2747771f2f4ce76057.jpg",6,true,"Alice - Clumsy as Can Be","Character",2,"Rare",,"Shift 3 (You may pay 3 {i} to play this on top of
one of your characters named Alice.)
ACCIDENT PRONE Whenever this character
quests, put 1 damage counter on each other
character.",6,2,"[""ROJ-104""]",,,
"Gonzalo Kenny","Storyborn, Villain, Queen","Emerald, Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/105_210f51940ca9ae5719f44b87ba7a438739a91659.jpg",4,true,"Queen of Hearts - Haughty Monarch","Character",3,"Super Rare","She'll go wherever she pleases, no matter who she
has to step on to get there.","COUNT OFF!: While there are 5 or more characters
with damage in play, this character gets +3 {l}.",3,2,"[""ROJ-105""]",,,
"Kendall Hale","Storyborn, Hero, Inventor","Emerald, Sapphire","","https://api.lorcana.ravensburger.com/images/en/set8/106_9932b39a21df70fe7866e977a459b9dcdb1b827d.jpg",2,true,"Hiro Hamada - Intuitive Thinker","Character",1,"Uncommon",,"LOOK FOR A NEW ANGLE: {e} - Ready chosen
Floodborn character.",3,1,"[""ROJ-106""]",,,
"Beno Meli","Floodborn, Hero, Inventor","Emerald, Sapphire","","https://api.lorcana.ravensburger.com/images/en/set8/107_df39c0c74fba4299f8fdfc78002d161dccf091fb.jpg",4,false,"Go Go Tomago - Cutting Edge","Character",2,"Super Rare",,"Shift 4 (You may pay 4 {i} to play this on top of one of your
characters named Go Go Tomago.)
Evasive (Only characters with Evasive can challenge this
character.)
ZERO RESISTANCE When you play this character, if you used
Shift to play her, you may put chosen character into their
player's inkwell facedown and exerted.",3,3,"[""ROJ-107""]",,,
"Leonardo Giammichele","Storyborn, Villain, Prince, Pirate","Emerald, Steel","","https://api.lorcana.ravensburger.com/images/en/set8/108_a38bbd306f5fedea6b7b2a5979a571eca86b25ab.jpg",3,false,"Don Karnage - Air Pirate Leader","Character",1,"Uncommon",,"Evasive (Only characters with Evasive can
challenge this character.)
SCORNFUL TAUNT Whenever you play an action
that isn't a song, chosen opposing character gains
Reckless during their next turn. (They can't quest
and must challenge if able.)",2,3,"[""ROJ-108""]",,,
"Kenneth Anderson","Floodborn, Villain, King, Pirate, Captain","Emerald, Steel","","https://api.lorcana.ravensburger.com/images/en/set8/109_bf1b76255dafbf9e0e26b89b7a5a04edace5e3fe.jpg",5,true,"Captain Hook - The Pirate King","Character",2,"Rare",,"Shift 3 (You may pay 3 {i} to play this on top of one
of your characters named Captain Hook.)
GIVE 'EM ALL YOU GOT! Once during your turn,
whenever an opposing character is damaged, your
Pirate characters get +2 {s} and gain Resist +2 this
turn. (Damage dealt to them is reduced by 2.)",5,4,"[""ROJ-109""]",,,
"Natalie Dombois","Storyborn, Hero, Deity","Emerald, Steel","","https://api.lorcana.ravensburger.com/images/en/set8/110_048dd59e0774575666d5c0638d45dc571eadc339.jpg",6,true,"Maui - Stubborn Trickster","Character",3,"Super Rare",,"I'M NOT FINISHED YET When this character is banished,
choose one:
- Put 2 damage counters on all opposing characters.
- Banish all opposing items.
- Banish all opposing locations.",4,4,"[""ROJ-110""]",,,
"Adam Ford","Storyborn, Hero, Inventor","Emerald, Sapphire","","https://api.lorcana.ravensburger.com/images/en/set8/111_9815104f2881c9d5820e22e6ac6119e83e7f423b.jpg",4,true,"Honey Lemon - Costumed Catalyst","Character",2,"Rare",,"LET'S DO THIS!: Whenever you play a Floodborn
character, if you used Shift to play them, you may
return chosen character to their player's hand.",3,3,"[""ROJ-111""]",,,
"Raquel Villanueva","Storyborn, Ally","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/112_7a5cd74eb4114c5004e3233827d0586f9ba32d63.jpg",4,true,"Jock - Attentive Uncle","Character",1,"Common","""Settle in, ye wee pups, and let Uncle Jock tell ye a story
about some Illumineers and a mad adventure...""","VOICE OF EXPERIENCE: When you play this character, if
you have 3 or more other characters in play, gain 2 lore.",4,3,"[""ROJ-112""]",,,
"Gwawi","Storyborn, Ally","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/113_b0e854c5f20ad211457c996f212487fe1b8cd695.jpg",3,true,"Archimedes - Resourceful Owl","Character",2,"Rare",,"YOU DON'T NEED THAT: When you play this
character, you may banish chosen item.
NOW, THAT'S NOT BAD During your turn,
whenever an item is banished, you may draw a
card, then choose and discard a card.",2,2,"[""ROJ-113""]",,,
"Luis Huerta",,"Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/114_ca6babf290e1ec435ee47fea96aadc5671756867.jpg",3,true,"He Who Steals and Runs Away","Action",,"Common","Lives to steal another day!","Banish chosen item. Draw a card.",,,"[""ROJ-114""]",,,
"Edu Francisco","Song","Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/115_762df6e061fa8e3faa70bfa789620fb5990bf18a.jpg",8,true,"Stopped Chaos in Its Tracks","Action - Song",,"Uncommon",,"Sing Together 8 (Any number of your or your
teammates' characters with total cost 8 or more may
{e} to sing this song for free.)
Return up to 2 chosen characters with 3 {s} or less
each to their player's hand.",,,"[""ROJ-115""]",,,
"Cristian Romero",,"Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/116_7abbbb8cd3265648a7365b76851755193fda6f27.jpg",3,true,"Wrong Lever!","Action",,"Rare",,"Choose one:
- Return chosen character to their player's hand.
- Put a card named Pull the Lever! from your discard on
the bottom of your deck to put chosen character on
the bottom of their player's deck.",,,"[""ROJ-116""]",,,
"Luigi Aim?",,"Emerald, Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/117_9674c713f088e9b661cac2aa6d86cc6403465a5f.jpg",2,true,"Undermine","Action",,"Uncommon","""It's a real shame I didn't even get a chance to study it.""","Chosen opponent chooses and discards a card. Chosen
character gets +2 {s} this turn.",,,"[""ROJ-117""]",,,
"Alibeth Zermeno",,"Emerald, Steel","","https://api.lorcana.ravensburger.com/images/en/set8/118_3f8f19bd4f7219e9c8b5d0d8b9b6c8ffd509eb2a.jpg",3,false,"Walk the Plank!","Action",,"Uncommon","It was at this point that John decided he'd had quite
enough adventure.","Your Pirate characters gain ""{e} - Banish chosen
damaged character"" this turn.",,,"[""ROJ-118""]",,,
"Jared Nickerl",,"Emerald","","https://api.lorcana.ravensburger.com/images/en/set8/119_960584354e8dcea8b364285abd322ca9bc463d39.jpg",2,true,"Chem Purse","Item",,"Common","""Cute, but also potentially devastating. Perfect.""
-Honey Lemon","HERE'S THE BEST PART: Whenever you play a character,
if you used Shift to play them, they get +4 {s} this turn.",,,"[""ROJ-119""]",,,
"Filipe Laurentino",,"Emerald, Sapphire","","https://api.lorcana.ravensburger.com/images/en/set8/120_f9ab6bf84bd022d4309b8e647cf16923d3a12afa.jpg",2,true,"Jeweled Collar","Item",,"Uncommon","Archazia created many wondrous things, but none as
beautiful as this.","WELCOME EXTRAVAGANCE: Whenever one of your
characters is challenged, you may put the top card of
your deck into your inkwell facedown and exerted.",,,"[""ROJ-120""]",,,
"Rudy Hill / Denny Minonne","Storyborn, Ally, Racer","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/121_697e10e0458aa3d8827fef3871b3e6ce8b17f230.jpg",3,true,"Gloyd Orangeboar - Fierce Competitor","Character",1,"Common","""I've got tricks for my opponents and treats for
my fans!""","PUMPKIN SPICE: When you play this character,
each opponent loses 1 lore and you gain 1 lore.",2,1,"[""ROJ-121""]",,,
"Valentina Graziuso","Storyborn, Villain","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/122_eb189fb80ceb96df7f9d99b14e2db72481de5f0f.jpg",6,true,"Honest John - Shameless Schemer","Character",2,"Uncommon","""Say, jewels just lying around in a fancy joint like
this? It would be a shame if a few went missing...""",,5,7,"[""ROJ-122""]",,,
"Pietro B. Zemelo","Storyborn, Ally, Inventor","Ruby, Sapphire","","https://api.lorcana.ravensburger.com/images/en/set8/123_78701e6d2a5b3b8f9623ec2dc2e2d192646fb6ea.jpg",3,true,"Gyro Gearloose - Eccentric Inventor","Character",1,"Rare",,"Evasive (Only characters with Evasive can
challenge this character.)
I'LL SHOW YOU! When you play this character,
chosen opposing character gets -3 {s} this turn.",3,1,"[""ROJ-123""]",,,
"French Carlomagno","Storyborn, Hero, Princess, Racer","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/124_3c2d4a95240db03bbeb15b16b3c8758b916ddb89.jpg",2,true,"Vanellope Von Schweetz - Spunky Speedster","Character",1,"Common","""I can handle anything you throw at me...Wait, are
those laser snakes? This is the best track ever!""","Evasive (Only characters with Evasive can challenge
this character.)",1,3,"[""ROJ-124""]",,,
"Teresita Q. / SCG","Storyborn, Ally","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/125_8cd1999b818f23bba5fe456d743b65059401af4f.jpg",4,true,"Brutus - Fearsome Crocodile","Character",1,"Common","He's identical to Nero in cruelty and classiness.","SPITEFUL: During your turn, when this character
is banished, if one of your characters was damaged
this turn, gain 2 lore.",3,4,"[""ROJ-125""]",,,
"Filipe Laurentino","Storyborn","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/126_b2b34253992ae784f7da0eb60d8e441e55e32f31.jpg",3,true,"The Dodo - Outlandish Storyteller","Character",1,"Common","""And there I was in the cave below the palace
when suddenly sand began pouring down. Did I
stop? No! What's a little sand?""","EXTRAORDINARY SITUATION: This character gets
+1 {s} for each 1 damage on him.",6,0,"[""ROJ-126""]",,,
"Filipe Laurentino","Storyborn, Hero","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/127_e2b1cea3da55e534d41df0c269a5103a71873fa6.jpg",4,true,"Alice - Courageous Keyholder","Character",2,"Common","""Goodness, those scarabs are awfully close!
We must find the way out!""","THIS WAY OUT: When you play this character, you
may ready chosen damaged character of yours.
They can't quest for the rest of this turn.",4,2,"[""ROJ-127""]",,,
"Heidi Neunhoffer","Storyborn, Ally","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/128_7968de639d8a4f5cf383de3c8c1f2d65b99cf016.jpg",2,true,"Lumiere - Nimble Candelabra","Character",2,"Common","""Sacrebleu! This is no way to treat a guest in your
palace!""","QUICK-STEP: While you have an item card in
your discard, this character gains Evasive. (Only
characters with Evasive can challenge them.)",1,1,"[""ROJ-128""]",,,
"Samoldstoree","Storyborn, Villain","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/129_553e014d605c4039f1177e61667d1ca5b38d18f5.jpg",4,true,"Gaston - Arrogant Showoff","Character",1,"Common","""Take this magical stone. You'll need it to keep up
with me!""","BREAK APART: When you play this character, you
may banish one of your items to give chosen
character +2 {s} this turn.",4,4,"[""ROJ-129""]",,,
"Kuya Jaypi","Storyborn, Ally, Dragon","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/130_d4e328fbdfacdf00aaef0eabdc04704a162960c0.jpg",3,true,"Mushu - Fast-Talking Dragon","Character",1,"Common","""Move, move, move! There's no time to explain.
Well, maybe a little time, so listen up...""","LET'S GET THIS SHOW ON THE ROAD: {e} - Chosen
character gains Rush this turn. (They can
challenge the turn they're played.)",3,2,"[""ROJ-130""]",,,
"Yu Nguyen","Storyborn, Ally","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/131_30cef4186fdcffcc9778e8e54379c6c2f12c7f2e.jpg",4,true,"Cri-Kee - Part of the Team","Character",1,"Common","""You were so focused on me and Mulan that you forgot
about my man Cri-Kee here. And that was a mistake!""
-Mushu","AT HER SIDE: While you have 2 or more other exerted
characters in play, this character gets +2 {l}.",3,4,"[""ROJ-131""]",,,
"Sara Leal (Loyal)","Storyborn","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/132_aeb810d0c742082a87b562771e79be1736d47686.jpg",5,true,"Lafayette - Sleepy Basset Hound","Character",1,"Common","""What are we guarding the kitchen for, Napoleon?
There ain't no scarabs 'round here. Call me when
there's somethin’ serious that needs fixin'.""",,4,7,"[""ROJ-132""]",,,
"Saulo Nate","Storyborn, Ally","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/133_d753c244d66de6398f42389407627d8041a178f0.jpg",3,true,"Figaro - Tuxedo Cat","Character",1,"Uncommon","""Say hello to Figaro. Up to mischief already!""
-Geppetto","PLAYFULNESS: Opposing items enter play exerted.",3,3,"[""ROJ-133""]",,,
"Oggy Christiansson","Storyborn, Ally","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/134_12a485f10892a5d7623888b33e72a21c42acaf69.jpg",2,true,"Thumper - Young Bunny","Character",1,"Uncommon","""C'mon! Let's show that mean old high sultan
what's what.""","YOU CAN DO IT!: {e} - Chosen character gets +3 {s}
this turn.",3,0,"[""ROJ-134""]",,,
"Joseph Buenning","Storyborn, Hero, Racer","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/135_f49fc5b37feb18038abe238da6f26eab352735ad.jpg",3,true,"Wreck-It Ralph - Back Seat Driver","Character",1,"Rare","""Let's burn rubber, kid!""
-Wreck-It Ralph","CHARGED UP: When you play this character,
chosen Racer character gets +4 {s} this turn.",2,4,"[""ROJ-135""]",,,
"Amber Kommavongsa","Storyborn, Ally, Fairy","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/136_3d51db5f39f45529fb25087a8025b1e7a9a8a2e9.jpg",2,true,"Tinker Bell - Insistent Fairy","Character",1,"Legendary",,"Evasive (Only characters with Evasive can challenge
this character.)
PAY ATTENTION Whenever you play a character with
5 {s} or more, you may exert them to gain 2 lore.",1,1,"[""ROJ-136""]",,,
"Julien Vandois","Dreamborn, Hero","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/137_7861718d402199ea506554691e4d405947eb21d4.jpg",5,true,"Lilo - Causing an Uproar","Character",2,"Legendary",,"STOMPIN' TIME!: During your turn, if you've played
3 or more actions this turn, you may play this
character for free.
RAAAWR! When you play this character, ready
chosen character. They can't quest for the rest of
this turn.",4,4,"[""ROJ-137""]",,,
"Simone Buonfantino","Storyborn, Ally","Ruby, Sapphire","","https://api.lorcana.ravensburger.com/images/en/set8/138_acbebdf65123af9d5a813f1129f69182d63972ef.jpg",2,true,"LeFou - Cake Thief","Character",1,"Uncommon","""LeFou, sometimes you really take the cake.""
-Gaston","ALL FOR ME: {e}, Banish one of your items -
Chosen opponent loses 1 lore and you gain 1 lore.",2,2,"[""ROJ-138""]",,,
"Justin Runfola","Floodborn, Ally","Ruby, Sapphire","","https://api.lorcana.ravensburger.com/images/en/set8/139_245ab9b58ba0c49db1258ee24e24e23b7ae90460.jpg",5,true,"Lumiere - Fired Up","Character",2,"Super Rare",,"Shift 3 (You may pay 3 {i} to play this on top of one of
your characters named Lumiere.)
Evasive (Only characters with Evasive can challenge
this character.)
SACREBLEU! Whenever one of your items is
banished, this character gets +1 {l} this turn.",3,4,"[""ROJ-139""]",,,
"Filipe Laurentino","Storyborn, Villain","Ruby, Steel","","https://api.lorcana.ravensburger.com/images/en/set8/140_72471be6dddeeb754476e213c78d82eb7a713652.jpg",2,true,"The Coachman - Greedy Deceiver","Character",1,"Uncommon",,"WILD RIDE: While 2 or more characters of yours
are exerted, this character gets +2 {s} and
gains Evasive. (Only characters with Evasive can
challenge them.)",2,2,"[""ROJ-140""]",,,
"Gonzalo Kenny","Storyborn, Hero, Princess","Ruby, Steel","","https://api.lorcana.ravensburger.com/images/en/set8/141_d1050420f3b320a39afbf55872372ac64d19a7f8.jpg",4,false,"Mulan - Charging Ahead","Character",0,"Super Rare",,"Reckless (This character can't quest and must challenge
each turn if able.)
BURST OF SPEED During your turn, this character gains
Evasive. (They can challenge characters with Evasive.)
LONG RANGE This character can challenge ready
characters.",3,3,"[""ROJ-141""]",,,
"Jared Mathews","Floodborn, Ally, Dragon","Ruby, Steel","","https://api.lorcana.ravensburger.com/images/en/set8/142_e895ef11204117f8364202a038cfb6e81f8a4f64.jpg",6,true,"Mushu - Your Worst Nightmare","Character",2,"Rare",,"Shift 4 (You may pay 4 {i} to play this on top of one of your
characters named Mushu.)
ALL FIRED UP Whenever you play another character, they
gain Rush, Reckless, and Evasive this turn. (They can
challenge the turn they're played. They can't quest and
must challenge if able. They can challenge characters with
Evasive.)",6,4,"[""ROJ-142""]",,,
"noc4urne","Storyborn, Ally","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/143_8408e2308a9c10c88d06fadcb2c1f9762c450016.jpg",3,true,"Mr. Snoops - Betrayed Partner","Character",1,"Common","""You can't do this to me, you swindler! We had a
verbal agreement!""","DOUBLE-CROSSING CROOK!: During your turn, when
this character is banished, you may draw a card.",3,3,"[""ROJ-143""]",,,
"James Rey Sanchez","Storyborn, Ally","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/144_88136f41b62afba04948e5408d3d1ddc37bab782.jpg",2,true,"Friend Owl - Cantankerous Neighbor","Character",2,"Common","""Sand? In the forest? I'll bet some magical
miscreant's up to no good. Well, it's none of my
concern. I'm going back to bed.""",,2,2,"[""ROJ-144""]",,,
"Raquel Villanueva","Storyborn, Ally","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/145_6054f34ea8b2c901e6084d19f4314a0931a240c0.jpg",4,false,"Faline - Playful Fawn","Character",1,"Rare",,"Evasive (Only characters with Evasive can
challenge this character.)
PRECOCIOUS FRIEND While you have a character
in play with more {s} than each opposing
character, this character gets +2 {l}.",4,2,"[""ROJ-145""]",,,
"Denny Minonne","Storyborn, Villain, Prince","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/146_43c2e2266e6098516a775fef516bceb00f27b504.jpg",3,false,"Prince John - Fraidy-Cat","Character",1,"Rare","Even a frightened lion still has claws.","HELP! HELP!: Whenever an opponent plays a
character, deal 1 damage to this character.",5,5,"[""ROJ-146""]",,,
"Jeanne Plounevez","Song","Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/147_f336c86deceeacbc375228a8719fdceabdce2100.jpg",8,true,"Nothing We Won't Do","Action - Song",,"Rare",,"Sing Together 8 (Any number of your or your
teammates' characters with total cost 8 or more may
{e} to sing this song for free.)
Ready all your characters. For the rest of this turn,
they take no damage from challenges and can't quest.",,,"[""ROJ-147""]",,,
"Diogo Saito",,"Ruby, Sapphire","","https://api.lorcana.ravensburger.com/images/en/set8/148_4ea26f3311c66811a30511439ac9b93cc426d272.jpg",6,false,"Get Out!","Action",,"Uncommon","""Leave now. Before I change my mind.""
-The Beast","Banish chosen character, then return an item card
from your discard to your hand.",,,"[""ROJ-148""]",,,
"Kenneth Anderson",,"Ruby, Steel","","https://api.lorcana.ravensburger.com/images/en/set8/149_3840cd7cebbae4d7a792e9b85207ec95a046fd81.jpg",1,false,"Light the Fuse","Action",,"Uncommon","A bold act can change the course of battle.","Deal 1 damage to chosen character for each exerted
character you have in play.",,,"[""ROJ-149""]",,,
"Omar Lozano",,"Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/150_e21e79976afcdb2b30a0815f2412ca02372e16cc.jpg",1,true,"Twitterpated","Action",,"Uncommon","A mysterious phenomenon that makes you feel both
invincible and vulnerable at the same time.","Chosen character gains Evasive until the start of your next
turn. (Only characters with Evasive can challenge them.)",,,"[""ROJ-150""]",,,
"Leonardo Giammichele",,"Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/151_bf364e1238cf57c956b0561da39a1e5061fb128c.jpg",7,false,"Most Everyone's Mad Here","Action",,"Rare","""Well, some go this way, some go that way. But as for
me, myself, personally, I prefer the shortcut.""","Gain lore equal to the damage on chosen character,
then banish them.",,,"[""ROJ-151""]",,,
"Domenico Russo",,"Ruby","","https://api.lorcana.ravensburger.com/images/en/set8/152_78f0d8c945a8447bf056ecf8541655485dd48eba.jpg",1,true,"The Sword of Shan-Yu","Item",,"Rare","""I know what this means to you.""
-The Emperor","WORTHY WEAPON: {e}, {e} one of your characters -
Ready chosen character. They can't quest for the rest
of this turn.",,,"[""ROJ-152""]",,,
"Jon Densk / Hayley Evans","Storyborn, Ally, Queen","Sapphire","","https://api.lorcana.ravensburger.com/images/en/set8/153_a860167e59be54be85220db65c2c6851fe765305.jpg",4,true,"The Mouse Queen - Ruler of Mousedom","Character",1,"Common","""After that dreadful Ratigan business, I know
about villains. This Jafar is certainly a villain of the
highest order.""",,6,3,"[""ROJ-153""]",,,
"Rudy Hill","Storyborn, Knight","Sapphire","","https://api.lorcana.ravensburger.com/images/en/set8/154_d0faa2b5b11e398a9fe03bbdabf2ebee9a303e2f.jpg",3,true,"Sir Pellinore - Seasoned Knight","Character",1,"Uncommon","""Together, lads, we prevail!""","CODE OF HONOR: Whenever this character quests,
your other characters gain Support this turn.
(Whenever they quest, you may add their {s} to
another chosen character's {s} this turn.)",4,1,"[""ROJ-154""]",,,
"Carmine Pucci","Storyborn, Ally","Sapphire","","https://api.lorcana.ravensburger.com/images/en/set8/155_a561ae9b0e7e0877a2eca23c34e990f5e1f39372.jpg",3,true,"Anita Radcliffe - Dog Lover","Character",1,"Common",,"I'LL TAKE CARE OF YOU When you play this
character, you may give chosen Puppy character
Resist +1 until the start of your next turn.
(Damage dealt to them is reduced by 1.)",3,3,"[""ROJ-155""]",,,
